step,elapsed_minutes,score,best_so_far,tps,p95_latency_ms,phase
0,0.0,95.73,95.73,,,baseline
1,1.568165,95.73,95.73,,,db
2,4.439665,606.5573033707865,606.5573033707865,5398.36,8.9,db
3,7.637299,430.05915492957746,606.5573033707865,4580.13,10.65,db
4,10.354479,588.5066225165563,606.5573033707865,5331.87,9.06,db
5,12.71138,610.0314606741573,610.0314606741573,5429.28,8.9,db
6,15.028232,588.5132450331126,610.0314606741573,5331.93,9.06,os_sysctl
7,17.04211,647.6130536130537,647.6130536130537,5556.52,8.58,os_sysctl
8,19.223068,644.2086247086247,647.6130536130537,5527.31,8.58,os_sysctl
